Tm_C,GC_percent
79.445,45.45
78.737,38.21
79.630,42.46
81.801,47.25
80.703,47.54
81.829,44.44
82.675,45.87
81.326,47.69
80.711,44.11
78.995,45.58
82.782,45.44
85.116,50.45
79.256,41.11
81.144,45.52
81.326,47.69
82.638,50.21
85.128,53.02
84.898,51.89
83.059,46.53
83.814,48.41
84.218,49.83
80.151,45.64
84.084,50.57
82.647,45.00
79.407,41.48
86.993,54.75
86.302,54.05
85.028,54.13
84.570,54.07
82.561,52.22
84.655,54.21
83.794,53.70
85.825,54.12
82.705,46.32
80.111,48.30
85.756,54.41
85.739,59.68
80.036,42.52
82.694,51.47
84.030,48.70
84.848,49.62
86.031,52.31
86.032,53.17
85.536,51.69
84.826,52.82
85.448,53.68
85.294,52.66
84.898,51.31
89.410,60.63
82.444,48.89
78.683,42.33
85.867,52.15
84.755,49.72
79.233,40.86
81.123,42.23
83.003,46.39
84.129,51.00
85.652,53.12
86.504,56.38
83.372,51.59
84.737,49.68
87.080,54.29
80.888,43.77
82.520,50.70
82.349,46.72
85.123,51.82
79.978,44.29
82.240,48.07
82.175,49.55
83.157,47.14
86.388,53.65
87.722,58.99
86.721,56.01
87.756,57.80
85.192,53.75
86.433,54.89
87.035,55.49
84.761,51.02
87.925,56.57
86.624,54.08
84.776,49.70
86.438,54.51
85.238,51.06
86.384,53.69
85.594,52.02
81.294,43.96
83.561,46.76
82.741,44.33
84.022,47.32
80.212,38.56
79.522,36.69
77.278,33.54
77.888,33.70
81.370,42.27
82.877,46.23
84.541,49.14
85.661,51.29
82.862,46.15
84.672,51.16
76.894,31.89
84.927,49.28
81.896,42.47
80.404,42.28
84.945,51.05
83.386,48.09
79.226,40.78
84.518,49.27
86.586,53.54
85.987,52.78
84.263,48.95
82.304,44.77
85.839,53.58
83.869,47.52
83.635,47.78
85.962,52.56
84.248,48.94
80.874,40.63
84.413,48.96
77.835,32.45
81.264,45.45
81.896,42.64
81.804,44.15
84.411,48.28
88.438,58.48
86.995,58.62
84.543,52.23
85.152,51.40
83.694,48.89
78.654,40.08
77.797,37.11
79.425,40.00
77.948,32.84
81.172,45.65
85.989,53.79
84.728,53.80
84.255,52.34
86.760,54.28
85.932,54.84
88.136,59.11
85.834,53.72
79.892,42.80
76.159,29.91
86.542,56.17
83.334,48.83
84.703,52.99
86.735,54.28
